Trail Name,Trail Type,Distance,High Point,Elevation Gain,Difficulty,Seasons,Family Friendly,Backpackable,Crowded
Ainsworth Loop Hike,Loop,0.5 miles,150 feet,85 feet,Easy,All year,Yes,No,No
Aldrich Butte Hike,Out and Back,13.8 miles round trip,,2405 feet,Moderate,All Season,No,No,No
Aldrich Butte-Cedar Falls Loop Hike,Lollipop loop,16.4 miles round trip,"1,140 feet",3105 feet,Difficult,Year round,No,No,No
Angels Rest Hike,Out and Back,4.8 miles round trip,1640 feet,1475 feet,Moderate,All Season,Yes,No,Yes
Angels Rest-Devils Rest Loop Hike,Loop,10.8 miles,2435 feet,3040 feet,Moderate,All Season,Yes,No,Yes
Archer Mountain Loop Hike,Lollipop loop,6.3 miles with High Valley loop,"2,020 feet","1,780 feet",Moderate,Spring through fall,No,No,No
Augspurger Mountain Hike,Out-and-back,12.6 miles,"3,667 feet",4767 feet,Difficult,Spring through fall; snowshoe in winter,No,No,No
Balfour-Klickitat Loop Hike,Loop,0.7 miles,220 feet,115 feet,Easy,All year,Yes,No,No
Beacon Rock Hike,Out and Back,1.8 miles round trip,,680 feet,Moderate,"Year round, except during ice storms",Yes,No,Yes
Bear Lake Hike,In and out,2.6 miles,4100 feet,480 feet,Easy,Summer/Fall,Yes,Yes,No
Bell Creek Loop Hike,Dogbone (Out to a loop and back),17 miles round trip,,3330 feet,Difficult,May-Oct,No,Yes,Crowded to Triple Falls
Benson Plateau Loop Hike,Lollipop loop,16.4 miles,4095 feet,4030 feet,Difficult,Late May into October,No,Yes,Yes
Bridal Veil Falls Hike,In and out + universal access loop,1.4 miles,230 feet,205 feet,Easy,All year,Yes,No,Yes
Buck Creek on Larch Mountain Hike,In and out,1.8 miles,"1,680 feet",310 feet,Easy,"All year, except during winter snows",Yes,No,No
Buck Point Hike,Out and back,1.8 miles round trip,710 feet,600 feet,Easy,Year-round,Yes,No,No
Camp Benson Falls Hike,Out and back,4.9 miles,460 feet,430 feet,Easy,All year,Yes,No,No
